PLANO,MES,ANO,1.00.00.00.00.00.00.00,2.01.00.00.00.00.00.00,2.02.00.00.00.00.00.00,2.03.00.00.00.00.00.00,2.03.01.00.00.00.00.00,2.03.01.01.00.00.00.00,2.03.01.01.01.00.00.00,2.03.01.01.01.01.00.00,2.03.01.01.01.02.00.00,2.03.01.01.02.00.00.00,2.03.01.01.02.01.00.00,2.03.01.01.02.02.00.00,2.03.01.01.02.03.00.00,2.03.01.01.03.00.00.00,2.03.02.01.00.00.00.00,3.01.00.00.00.00.00.00,3.02.00.00.00.00.00.00,3.05.00.00.00.00.00.00,solvencia_seca,solvencia_gerencial,solvencia_liquida,resultado_operacional,maturiade_atuarial,solvencia_financeira,risco_legal,provisoes_cd,passivo_integralizar,provisoes_bd,resultado,prov_concedidos_cd,prov_conceder_cd,prov_concedidos_bd,prov_conceder_bd,COMPETENCIA
ConabPrev Consolidado,9,2022,1167943764.92,5573156.99,0.0,1162370607.93,1098418663.09,1098418663.09,311542443.58,311542443.58,0.0,786876219.51,786876219.51,0.0,0.0,0.0,50278202.69,70329509.76,60273638.41,49500570.2,1.045773259668186,1.0,1.0,1.1668369724355587,2.5257432357140144,1.9881009861206422,0.0,1.0,0.0,0.0,0.0,311542443.58,786876219.51,0.0,0.0,2022-09-01
ConabPrev Consolidado,9,2023,1278992672.45,5763882.05,0.0,1273228790.4,1204781646.81,1204781646.81,303513841.51,303513841.51,0.0,901267805.3,901267805.3,0.0,0.0,0.0,54502615.2,76047880.91,28575220.56,60593442.47,1.045238583559362,1.0,1.0,2.661322622176114,2.9694454816826057,4.7818116781667985,0.0,1.0,0.0,0.0,0.0,303513841.51,901267805.3,0.0,0.0,2023-09-01
ConabPrev Consolidado,10,2021,1079919324.95,7156043.74,0.0,1072763281.21,1015974714.17,1015974714.17,252949281.84,252949281.84,0.0,763025432.33,763025432.33,0.0,0.0,0.0,44577850.55,85922351.44,44576013.21,3882404.58,1.0438769291482002,1.0,1.0,1.9275467959688357,3.0165155116457,2.0146430681659426,0.0,1.0000000000000002,0.0,-2.220446049250313e-16,0.0,252949281.84,763025432.33,0.0,0.0,2021-10-01
ConabPrev Consolidado,10,2022,1179108986.25,6493649.49,0.0,1172615336.76,1107984832.1,1107984832.1,311897998.11,311897998.11,0.0,796086833.99,796086833.99,0.0,0.0,0.0,50747460.89,74358657.2,64866509.77,60099721.33,1.0458015844800121,1.0,1.0,1.1463335620130746,2.552394817581473,2.072847437094348,0.0,1.0,0.0,0.0,0.0,311897998.11,796086833.99,0.0,0.0,2022-10-01
ConabPrev Consolidado,10,2023,1278598297.1,7596124.36,0.0,1271002172.74,1202656442.8,1202656442.8,301196764.89,301196764.89,0.0,901459677.91,901459677.91,0.0,0.0,0.0,54430220.3,82789787.17,33388292.24,56467008.98,1.0452583284493755,1.0,1.0,2.479605323174205,2.9929261631984057,4.170827161479284,0.0,1.0,0.0,0.0,0.0,301196764.89,901459677.91,0.0,0.0,2023-10-01
ConabPrev Consolidado,11,2021,1095311440.46,7000839.02,0.0,1088310601.44,1030867377.06,1030867377.06,251005818.96,251005818.96,0.0,779861558.1,779861558.1,0.0,0.0,0.0,45106580.1,96394499.68,47984282.55,12239918.12,1.043755948731875,1.0,1.0,2.0088765436798224,3.1069461310945856,2.2639583635912883,0.0,1.0000000000000002,0.0,-2.220446049250313e-16,0.0,251005818.96,779861558.1,0.0,0.0,2021-11-01
ConabPrev Consolidado,11,2022,1173240547.99,6117117.33,0.0,1167123430.66,1102977525.68,1102977525.68,297164915.72,297164915.72,0.0,805812609.96,805812609.96,0.0,0.0,0.0,50487744.08,81787230.25,68042604.88,50580220.16,1.0457740460748497,1.0,1.0,1.2020002819445263,2.7116680581474397,1.9453613018408593,0.0,1.0,0.0,0.0,0.0,297164915.72,805812609.96,0.0,0.0,2022-11-01
ConabPrev Consolidado,11,2023,1297744085.5,6771094.5,0.0,1290972991.0,1221661250.01,1221661250.01,301989792.8,301989792.8,0.0,919671457.21,919671457.21,0.0,0.0,0.0,55301024.21,89731674.91,41991741.96,78004182.08,1.045267069091,1.0,1.0,2.1368886052756646,3.0453726554230744,3.9944962785725786,0.0,1.0,0.0,0.0,0.0,301989792.8,919671457.21,0.0,0.0,2023-11-01
ConabPrev Consolidado,12,2021,1106194961.2,4597693.15,0.0,1101597268.05,1043489634.92,1043489634.92,250967590.12,250967590.12,0.0,792522044.8,792522044.8,0.0,0.0,0.0,45650789.31,105147862.95,51497090.44,20165829.81,1.043748196227651,1.0,1.0,2.041821432077008,3.1578660990491083,2.433413066433429,0.0,1.0,0.0,0.0,0.0,250967590.12,792522044.8,0.0,0.0,2021-12-01
ConabPrev Consolidado,12,2022,1172308318.92,7505129.12,0.0,1164803189.8,1100644916.62,1100644916.62,297030722.84,297030722.84,0.0,803614193.78,803614193.78,0.0,0.0,0.0,50573242.57,88702236.86,76362529.56,49738027.66,1.0459487358786943,1.0,1.0,1.1615937472357352,2.7054918295871997,1.8129345022708279,0.0,1.0,0.0,0.0,0.0,297030722.84,803614193.78,0.0,0.0,2022-12-01
